"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"7","GO:0003677",6.36519305521895e-05,0.999996857289873,5,609,"DNA binding","MF"
"2","GO:0000166",6.12334726822588e-06,0.999999959005684,3,47,"nucleotide binding","MF"
"4","GO:0000977",7.74490943758274e-05,0.999998746750937,3,112,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"9","GO:0003690",1.60958829388029e-05,0.999999848866586,3,66,"double-stranded DNA binding","MF"
"40","GO:0019902",8.75877140087674e-06,0.999999933423477,3,55,"phosphatase binding","MF"
"77","GO:0046983",5.89888927538839e-05,0.999999131439717,3,101,"protein dimerization activity","MF"
"5","GO:0000978",0.00875601992762205,0.999649331219516,2,185,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"6","GO:0001227",0.00116536956363366,0.999983629333722,2,67,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"27","GO:0009881",6.59900650395764e-05,0.999999798180018,2,16,"photoreceptor activity","MF"
"28","GO:0009882",5.52335101000722e-07,1,2,2,"blue light photoreceptor activity","MF"
"39","GO:0019901",0.0164397847086721,0.999082121669975,2,261,"protein kinase binding","MF"
"57","GO:0035257",2.00310465686084e-05,0.99999996923324,2,9,"nuclear hormone receptor binding","MF"
"65","GO:0042826",0.000751772737166655,0.99999159761298,2,52,"histone deacetylase binding","MF"
"70","GO:0044877",0.0144978331701148,0.999242755968745,2,243,"protein-containing complex binding","MF"
"88","GO:0070888",9.1171811145943e-05,0.999999668085303,2,18,"E-box binding","MF"
"91","GO:0071949",0.000320660318544823,0.999997705713557,2,34,"FAD binding","MF"
"3","GO:0000976",0.0164189919159691,0.999880770775742,1,21,"transcription regulatory region sequence-specific DNA binding","MF"
"8","GO:0003684",0.0286208480232127,0.999628228490547,1,37,"damaged DNA binding","MF"
"10","GO:0003756",0.0106269185280464,0.999951404753406,1,14,"protein disulfide isomerase activity","MF"
"11","GO:0003824",0.0159052711673189,0.999888136849226,1,21,"catalytic activity","MF"
"12","GO:0004357",0.0014651945804372,0.999999504223951,1,2,"glutamate-cysteine ligase activity","MF"
"31","GO:0015037",0.0030638870095122,0.999996746231894,1,4,"peptide disulfide oxidoreductase activity","MF"
"32","GO:0016709",0.00968888910080546,0.999960135764435,1,12,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"38","GO:0019900",0.0345478043879362,0.999454183018804,1,46,"kinase binding","MF"
"44","GO:0030234",0.0134026730608496,0.999921574239786,1,17,"enzyme regulator activity","MF"
"55","GO:0035226",0.000732845178203341,1,1,1,"glutamate-cysteine ligase catalytic subunit binding","MF"
"83","GO:0051879",0.024318679018153,0.999733181092745,1,32,"Hsp90 protein binding","MF"
