Colony ,Location,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,Category,Seqeunced
1,Reef flat - 1-2m,N.O.,N.O.,N.O.,N.O.,N.O.,NO,Sequenced
2,Reef flat - 1-2m,N.O.,N.O.,N.O.,N.O.,N.O.,------,------
3,Reef flat - 1-2m,N.O.,N.O.,N.O.,Spawn,N.O.,------,------
4,Reef flat - 1-2m,N.O.,Spawn,Spawn,N.O.,N.O.,------,------
5,Reef flat - 1-2m,N.O.,N.O.,N.O.,N.O.,N.O.,------,------
6,Reef flat - 1-2m,N.O.,N.O.,N.O.,Spawn,N.O.,NO,Sequenced
7,Reef flat - 1-2m,N.O.,N.O.,N.O.,N.O.,N.O.,------,------
8,Reef flat - 1-2m,N.O.,N.O.,Spawn,Spawn,N.O.,YES,Sequenced
9,Reef flat - 1-2m,N.O.,N.O.,N.O.,Spawn,N.O.,------,------
10,Reef flat - 1-2m,N.O.,Spawn,Spawn,Spawn,N.O.,YES,Sequenced
11,Reef flat - 1-2m,N.O.,Spawn,Spawn,Spawn,N.O.,------,------
12,Reef flat - 1-2m,N.O.,N.O.,Spawn,Spawn,N.O.,------,------
13,Reef slope 2-3m,Spawn,Spawn,N.O.,Spawn,N.O.,------,------
14,Reef slope 2-3m,N.O.,N.O.,N.O.,Spawn,N.O.,------,------
15,Reef slope 2-3m,N.O.,Spawn,N.O.,N.O.,N.O.,------,------
16,Reef slope 2-3m,N.O.,N.O.,Spawn,Spawn,N.O.,YES,Sequenced
17,Reef slope 2-3m,N.O.,N.O.,N.O.,N.O.,N.O.,NO,Sequenced
